"Nom";"Entitat";"GVA - Codi Inventari";"Estat";"Tipus";"GVA - Codi Article";"GVA - Descripció Codi Article";"Número de sèrie";"Fabricant";"Model";"GVA - Espai Destí";"GVA - Descripció Espai Destí";
"VODAFONE MOBILE_WIFI_R219H (25941)";"12004217 - IES EL CAMINÀS";"70025941";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21526001177";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25942)";"12004217 - IES EL CAMINÀS";"70025942";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521013965";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25943)";"12004217 - IES EL CAMINÀS";"70025943";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000611";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25944)";"12004217 - IES EL CAMINÀS";"70025944";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521006670";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25945)";"12004217 - IES EL CAMINÀS";"70025945";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519005186";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25946)";"12004217 - IES EL CAMINÀS";"70025946";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002770";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25947)";"12004217 - IES EL CAMINÀS";"70025947";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21526000173";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25948)";"12004217 - IES EL CAMINÀS";"70025948";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518005139";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25949)";"12004217 - IES EL CAMINÀS";"70025949";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602003309";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25950)";"12004217 - IES EL CAMINÀS";"70025950";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527001210";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25951)";"12004217 - IES EL CAMINÀS";"70025951";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000697";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25952)";"12004217 - IES EL CAMINÀS";"70025952";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521003431";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25953)";"12004217 - IES EL CAMINÀS";"70025953";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21528002733";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25954)";"12004217 - IES EL CAMINÀS";"70025954";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521006129";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25955)";"12004217 - IES EL CAMINÀS";"70025955";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002773";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25956)";"12004217 - IES EL CAMINÀS";"70025956";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004232";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25957)";"12004217 - IES EL CAMINÀS";"70025957";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002810";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25958)";"12004217 - IES EL CAMINÀS";"70025958";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518005340";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25959)";"12004217 - IES EL CAMINÀS";"70025959";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518005165";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25960)";"12004217 - IES EL CAMINÀS";"70025960";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004875";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25961)";"12004217 - IES EL CAMINÀS";"70025961";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518004834";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25962)";"12004217 - IES EL CAMINÀS";"70025962";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518006402";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25963)";"12004217 - IES EL CAMINÀS";"70025963";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002030";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25964)";"12004217 - IES EL CAMINÀS";"70025964";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004624";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25965)";"12004217 - IES EL CAMINÀS";"70025965";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21526001162";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25966)";"12004217 - IES EL CAMINÀS";"70025966";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521003785";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25967)";"12004217 - IES EL CAMINÀS";"70025967";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000420";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25968)";"12004217 - IES EL CAMINÀS";"70025968";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000912";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25969)";"12004217 - IES EL CAMINÀS";"70025969";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518006228";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25970)";"12004217 - IES EL CAMINÀS";"70025970";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002066";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25971)";"12004217 - IES EL CAMINÀS";"70025971";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524001673";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25972)";"12004217 - IES EL CAMINÀS";"70025972";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002172";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25973)";"12004217 - IES EL CAMINÀS";"70025973";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21531003278";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25974)";"12004217 - IES EL CAMINÀS";"70025974";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527003146";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25975)";"12004217 - IES EL CAMINÀS";"70025975";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527003143";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25976)";"12004217 - IES EL CAMINÀS";"70025976";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519005530";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25977)";"12004217 - IES EL CAMINÀS";"70025977";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518005837";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25830)";"12004217 - IES EL CAMINÀS";"70025830";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524001495";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25831)";"12004217 - IES EL CAMINÀS";"70025831";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002193";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25832)";"12004217 - IES EL CAMINÀS";"70025832";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002160";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25833)";"12004217 - IES EL CAMINÀS";"70025833";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527001109";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25834)";"12004217 - IES EL CAMINÀS";"70025834";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521000379";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25835)";"12004217 - IES EL CAMINÀS";"70025835";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002037";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25836)";"12004217 - IES EL CAMINÀS";"70025836";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521001420";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25837)";"12004217 - IES EL CAMINÀS";"70025837";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602001897";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25838)";"12004217 - IES EL CAMINÀS";"70025838";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520005049";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25839)";"12004217 - IES EL CAMINÀS";"70025839";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520004906";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25840)";"12004217 - IES EL CAMINÀS";"70025840";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004951";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25841)";"12004217 - IES EL CAMINÀS";"70025841";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520005438";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25842)";"12004217 - IES EL CAMINÀS";"70025842";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602003229";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25843)";"12004217 - IES EL CAMINÀS";"70025843";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521005388";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25844)";"12004217 - IES EL CAMINÀS";"70025844";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004517";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25845)";"12004217 - IES EL CAMINÀS";"70025845";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002775";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25846)";"12004217 - IES EL CAMINÀS";"70025846";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518005344";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25847)";"12004217 - IES EL CAMINÀS";"70025847";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602003225";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25848)";"12004217 - IES EL CAMINÀS";"70025848";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002043";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25849)";"12004217 - IES EL CAMINÀS";"70025849";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004558";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25850)";"12004217 - IES EL CAMINÀS";"70025850";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21528005290";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25851)";"12004217 - IES EL CAMINÀS";"70025851";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519003575";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25852)";"12004217 - IES EL CAMINÀS";"70025852";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21603001843";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25853)";"12004217 - IES EL CAMINÀS";"70025853";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524003159";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25854)";"12004217 - IES EL CAMINÀS";"70025854";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602002046";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25855)";"12004217 - IES EL CAMINÀS";"70025855";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521000384";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
